꿈비,407400,가구 제조업,"놀이방매트, 유아거실가구 등",2023.2.9,12월,박영건,http://ggumbi.com/,경기도
스튜디오미르,408900,"영화, 비디오물, 방송프로그램 제작 및 배급업",애니메이션 제작,2023.2.7,12월,유재명,http://www.studiomir.co.kr/,서울특별시
삼기이브이,419050,자동차 신품 부품 제조업,배터리(이차전지) 부품 (엔드플레이트),2023.2.3,12월,김치환,http://ev.samkee.com,충청남도
오브젠,417860,소프트웨어 개발 및 공급업,CRM 소프트웨어,2023.1.30,12월,전배문,http://obzen.com,서울특별시
미래반도체,254490,기타 전문 도매업,반도체,2023.1.27,12월,이정,http://www.miraisemi.co.kr/,서울특별시
티이엠씨,425040,기초 화학물질 제조업,반도체용 특수가스,2023.1.19,12월,유원양,http://temc.co.kr/,충청북도
한주라이트메탈,198940,1차 비철금속 제조업,알루미늄 기반 경량화 자동차 부품,2023.1.19,12월,이용진,http://www.hanjoolightmetal.com,울산광역시
옵티코어,380540,마그네틱 및 광학 매체 제조업,"광트랜시버, 광다중화장치 등",2022.12.29,12월,진재현,http://www.opticore.co.kr/,경기도
신영스팩9호,445970,금융 지원 서비스업,기업인수,2022.12.27,12월,손길현,,서울특별시
신스틸,162300,1차 철강 제조업,"컬러강판, 아연도금강판 등 강판류",2022.12.23,12월,신승곤,http://www.shin-steel.com,부산광역시
비엔케이제1호스팩,445360,금융 지원 서비스업,기업인수합병,2022.12.22,12월,조국형,http://bnkspac1.com,서울특별시
IBKS제21호스팩,442770,금융 지원 서비스업,기업인수 및 합병,2022.12.16,12월,김수환,http://ibks.com,서울특별시
엔에이치스팩27호,440820,금융 지원 서비스업,기타 금융 지원 서비스업,2022.12.16,12월,정정한,,서울특별시
핑거스토리,417180,기타 정보 서비스업,"웹툰, 디지털 만화, 웹소설",2022.12.8,12월,라현성,http://www.mootoon.co.kr,서울특별시
SAMG엔터,419530,"영화, 비디오물, 방송프로그램 제작 및 배급업",애니메이션 IP 기획 및 관련 제품 제작,2022.12.6,12월,김수훈,http://www.samg.net,서울특별시
대신밸런스제14호스팩,442310,금융 지원 서비스업,금융 지원 서비스업,2022.12.5,12월,박규상,,서울특별시
엔에이치스팩26호,439410,금융 지원 서비스업,기타 금융 지원 서비스업,2022.12.1,12월,이정석,,서울특별시
유진스팩9호,442130,금융 지원 서비스업,기업인수합병,2022.12.1,12월,박근진,http://eugenespac9.com,서울특별시
대신밸런스제13호스팩,438220,금융 지원 서비스업,금융 지원 서비스업,2022.11.28,12월,한양현,,서울특별시
펨트론,168360,특수 목적용 기계 제조업,3D 정밀측정 검사장비,2022.11.24,12월,유영웅,http://www.pemtron.com,서울특별시
인벤티지랩,389470,의약품 제조업,마이크로/나노 입자 기반 약물전달 플랫폼 및 관련 제품,2022.11.22,12월,김주희,http://www.inventagelab.com,경기도
엔젯,419080,특수 목적용 기계 제조업,"EHD 잉크젯 프린터, EHD 코터",2022.11.18,12월,변도영,http://enjet.co.kr,경기도
유비온,84440,소프트웨어 개발 및 공급업,학습관리시스템 등 에듀테크 플랫폼 (코스모스) 및 교육서비스,2022.11.18,09월,임재환,http://www.ubion.co.kr,서울특별시
티쓰리,204610,소프트웨어 개발 및 공급업,온라인 및 모바일 게임 등,2022.11.17,12월,홍민균,http://www.t3.co.kr,서울특별시
티에프이,425420,전자부품 제조업,"COK, Board, Test Socket",2022.11.17,12월,문성주,http://www.tfe.co.kr,경기도
윤성에프앤씨,372170,특수 목적용 기계 제조업,2차전지용 믹싱시스템,2022.11.14,12월,박치영,http://www.ysfc.co.kr,경기도
디티앤씨알오,383930,자연과학 및 공학 연구개발업,비임상 및 임상시험 대체 용역,2022.11.11,12월,박채규,http://www.dtncro.com,경기도
뉴로메카,348340,특수 목적용 기계 제조업,"협동로봇, 협동로봇 자동화 플랫폼, 로봇제어기 등",2022.11.4,12월,박종훈,http://www.neuromeka.com,서울특별시
제이아이테크,417500,기타 화학제품 제조업,반도체 프리커서 및 쿼츠/블랭크/포토마스크용 케이스,2022.11.4,12월,함석헌,http://www.ji-tech.co.kr,전북특별자치도
엔에이치스팩25호,438580,금융 지원 서비스업,기업인수합병,2022.11.3,12월,경국현,,서울특별시
교보13호스팩,440790,금융 지원 서비스업,기업 인수 및 합병,2022.11.2,12월,최윤석,,서울특별시
큐알티,405100,"그외 기타 전문, 과학 및 기술 서비스업",반도체 신뢰성 검사 및 종합분석,2022.11.2,12월,김영부,http://qrtkr.com,경기도
IBKS제20호스팩,439730,금융 지원 서비스업,기업인수 및 합병,2022.10.28,12월,박광열,http://ibks.com,서울특별시
저스템,417840,특수 목적용 기계 제조업,반도체 습도제어 System,2022.10.28,12월,임영진,http://www.justem.co.kr,경기도
산돌,419120,소프트웨어 개발 및 공급업,리테일 폰트 등,2022.10.27,12월,윤영호 (단독대표),http://www.sandoll.co.kr,서울특별시
삼성스팩7호,439250,금융 지원 서비스업,기업인수합병,2022.10.26,12월,이지연,,서울특별시
플라즈맵,405000,의료용 기기 제조업,플라즈마 멸균기 및 표면처리기기,2022.10.21,12월,임유봉(단독 대표이사),http://plasmapp.com/,대전광역시
엔에이치스팩24호,437780,금융 지원 서비스업,기업인수합병,2022.10.20,12월,이인직,,서울특별시
핀텔,291810,소프트웨어 개발 및 공급업,AI 영상 분석 솔루션 및 소프트웨어,2022.10.20,12월,김동기,,경기도
하나금융25호스팩,435620,금융 지원 서비스업,기업인수합병,2022.10.20,12월,남강욱,,서울특별시
